chat1-attempt1,*,*,*
case,32x32,64x64,61x67
misses,344,invalid,1993
chat1-attempt2,*,*,*
case,32x32,64x64,61x67
misses,0,0,0
chat1-attempt3,*,*,*
case,32x32,64x64,61x67
misses,288,1180,0
chat2-attempt1,*,*,*
case,32x32,64x64,61x67
misses,288,1180,1993
